a bit	một chút, một tí
private	cá nhân, riêng
privately	riêng tư, cá nhân
prize	giải, giải thưởng
probable	có thể, có khả năng
probably	hầu như chắc chắn
problem	vấn đề, điều khó giải quyết
procedure	thủ tục
proceed	tiến lên, theo duổi, tiếp diễn
process	quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
produce	sản xuất, chế tạo
producer	nhà sản xuất
product	sản phẩm
production	sự sản xuất, chế tạo
profession	nghề, nghề nghiệp
professional	nghề, nghề nghiệp; chuyên nghiệp
professor	giáo sư, giảng viên
profit	thuận lợi, lợi ích, lợi nhuận
program	chương trình; lên chương trình
programme	chương trình
progress	sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
project	đề án, dự án, kế hoạch; dự kiến, kế hoạch
promise	hứa, lời hứa
promote	thăng chức, thăng cấp
promotion	sự thăng chức, sự thăng cấp
prompt	mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
promptly	mau lẹ, ngay lập tức
pronounce	tuyên bố, thông báo, phát âm
pronunciation	sự phát âm
proof	chứng, chứng cớ, bằng chứng; sự kiểm chứng
proper	đúng, thích đáng, thích hợp
properly	một cách đúng đắn, một cách thích đáng
property	tài sản, của cải; đất đai, nhà cửa, bất động sản
proportion	sự cân xứng, sự cân đối
proposal	sự đề nghị, đề xuất
propose	đề nghị, đề xuất, đưa ra
prospect	viễn cảnh, toàn cảnh; triển vọng, mong chờ
protect	bảo vệ, che chở
protection	sự bảo vệ, sự che chở
protest	sự phản đối, sự phản kháng; phản đối, phản kháng
proud	tự hào, kiêu hãnh
proudly	một cách tự hào, một cách hãnh diện
prove	chứng tỏ, chứng minh
provide	chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
provided	với điều kiện là, miễn là
public	chung, công cộng; công chúng, nhân dân
publication	sự công bố; sự xuất bản
publicity	sự công khai, sự quảng cáo
publicly	công khai, công cộng
publicyhouse	quán rượu, tiệm rượu
publish	công bố, ban bố; xuất bản
publishing	công việc, nghề xuất bản
pull	lôi, kéo, giật; sự lôi kéo, sự giật
punch	đấm, thụi; quả đấm, cú thụi
punish	phạt, trừng phạt
punishment	sự trừng phạt, sự trừng trị
pupil	học sinh
purchase	sự mua, sự tậu; mua, sắm, tậu
pure	nguyên chất, tinh khiết, trong lành
purely	hoàn toàn, chỉ là
purple	tía, có màu tía; màu tía
purpose	mục đích, ý định
pursue	đuổi theo, đuổi bắt
push	xô đẩy; sự xô đẩy
put	đặt, để, cho vào
put  out	tắt, dập tắt
qualification	phẩm chất, năng lực; khả năng chuyên môn
qualified	đủ tư cách, điều kiện, khả năng
qualify	đủ khả năng, đủ tư cách, điều kiện
quality	chất lượng, phẩm chất
quantity	lượng, số lượng
quarter	4, 15 phút
queen	nữ hoàng
question	câu hỏi; hỏi, chất vấn
quick	nhanh
quickly	nhanh
quiet	lặng, yên lặng, yên tĩnh
quietly	lặng, yên lặng, yên tĩnh
quit	thoát, thoát ra
quite	hoàn toàn, hầu hết
quote	trích dẫn
race	loài, chủng, giống; cuộc đua; đua
racing	cuộc đua
radio	sóng vô tuyến, radio
rail	đường ray
railway	đường sắt
rain	mưa, cơn mưa; mưa
raise	nâng lên, đưa lên, ngẩng lên
range	dãy, hàng, loại; phạm vi, trình độ
rank	hàng, dãy; sắp xếp thành hàng, dãy
rapid	nhanh, nhanh chóng
rapidly	nhanh, nhanh chóng
rare	hiếm, ít
rarely	hiếm khi, ít khi
rate	tỷ lệ, tốc độ
rather	thà.. còn hơn, thích... hơn
rather than	hơn là
raw	sống , thô, còn nguyên chất
reach	đến, đi đến, tới
react	tác động trở lại, phản ứng
reaction	sự phản ứng; sự phản tác dụng
read	đọc
reader	người đọc, độc giả
reading	sự đọc
ready	sẵn sàng
real	thực, thực tế, có thật
realistic	hiện thực
reality	sự thật, thực tế, thực tại
realize	thực hiện, thực hành
really	thực, thực ra, thực sự
rear	phía sau; ở đằng sau, ở đằng sau
reason	lý do, lý lẽ
reasonable	có lý, hợp lý
reasonably	hợp lý
recall	gọi về, triệu hồi; nhặc lại, gợi lại
receipt	công thức; đơn thuốc
receive	nhận, lĩnh, thu
recent	gần đây, mới đây
recently	gần đây, mới đây
reception	sự nhận, sự tiếp nhận, sự đón tiếp
reckon	tính, đếm
recognition	sự công nhận, sự thừa nhận
recognize	nhận ra, nhận diện; công nhận, thừa nhận
recommend	giới thiệu, tiến cử; đề nghị, khuyên bảo
record	bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
recording	sự ghi, sự thu âm
recover	lấy lại, giành lại
red	đỏ; màu đỏ
reduce	giảm, giảm bớt
reduction	sự giảm giá, sự hạ giá
refer to	xem, tham khảo; ám chỉ, nhắc đến
reference	sự tham khảo, hỏi ýe kiến
reflect	phản chiếu, phản hồi, phản ánh
reform	cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
refrigerator	tủ lạnh
refusal	sự từ chối, sự khước từ
refuse	từ chối, khước từ
regard	nhìn, đánh giá; cái nhìn, sự quan tâm, sự chú ý
regarding	về, về việc, đối với
region	vùng, miền
regional	vùng, địa phương
register	đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
regret	đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
regular	thường xuyên, đều đặn
regularly	đều đặn, thường xuyên
regulation	sự điều chỉnh, điều lệ, quy tắc
reject	không chấp nhận, loại bỏ, bác bỏ
relate	kể lại, thuật lại; liên hệ, liên quan
related	có liên quan, có quan hệ với ai, cái gì
relation	mối quan hệ, sự liên quan, liên lạc
relationship	mối quan hệ, mối liên lạc
relative	có liên quan đến; người có họ, đại từ quan hệ
relatively	có liên quan, có quan hệ
relax	giải trí, nghỉ ngơi
relaxed	thanh thản, thoải mái
relaxing	làm giảm, bớt căng thẳng
release	làm nhẹ, bớt, thả, phóng thích, phát hành; sự giải thoát, thoát
relevant	thích hợp, có liên quan
relief	sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấo; sự đền bù
religion	tôn giáo
religious	tôn giáo
rely on	tin vào, tin cậy, tin tưởng vào
remain	còn lại, vẫn còn như cũ
remaining	còn lại
remains	đồ thừa, cái còn lại
remark	sự nhận xét, phê bình, sự để ý, chú ý; nhận xét, phê bình, để ý, chú ý
remarkable	đáng chú ý, đáng để ý; khác thường
remarkably	đáng chú ý, đáng để ý; khác thường
remember	nhớ, nhớ lại
remind	nhắc nhở, gợi nhớ
remote	xa, xa xôi, xa cách
removal	viêc di chuyển, việc dọn nhà, dời đi
remove	dời đi, di chuyển
rent	sự thuê mướn; cho thuê, thuê
rented	được thuê, được mướn
repair	sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
repeat	nhắc lại, lặp lại
repeated	được nhắc lại, được lặp lại
repeatedly	lặp đi lặp lại nhiều lần
replace	thay thế
reply	sự trả lời, sự hồi âm; trả lời, hồi âm
report	báo cáo, tường trình; bản báo cáo, bản tường trình
represent	miêu tả, hình dung; đại diện, thay mặt
representative	điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện, tượng trưng
reproduce	tái sản xuất
reputation	sự nổi tiếng, nổi danh
request	lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu
require	đòi hỏi, yêu cầu, quy định
requirement	nhu cầu, sự đòi hỏi; luật lệ, thủ tục
rescue	giải thoát, cứu nguy; sự giải thoát, sự cứu nguy
research	sự nghiên cứu
reservation	sự hạn chế, điều kiện hạn chế
reserve	dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước, sự đăng ký trước
resident	người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
resist	chống lại, phản đổi, kháng cự
resistance	sự chống lại, sự phản đối, sự kháng cự
resolve	quyết định, kiên quyết
resort	kế sách, phương kế
resource	tài nguyên; kế sách, thủ đoạn
respect	sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
respond	hưởng ứng, phản ứng lại, trả lời
response	sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
responsibility	trách nhiệm, sự chịu trách nhiệm
responsible	chịu trách nhiệm về, chịu trách nhiệm trước ai, gì
rest	sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi
restaurant	nhà hàng ăn, hiệu ăn
restore	hoàn lại, trả lại; sửa chữa lại, phục hồi lại
restrict	hạn chế, giới hạn
restricted	bị hạn chế, có giới hạn; vùng cấm
restriction	sự hạn chế, sự giới hạn
result	kết quả; bởi, do.. mà ra, kết quả là...
retain	giữ lại, nhớ được
retire	rời bỏ, rút về; thôi, nghỉ việc, về hưu
retired	ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
retirement	sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
return	trở lại, trở về; sự trở lại, sự trở về
reveal	bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
reverse	đảo, ngược lại; điều trái ngược, mặt trái
review	sự xem lại, sự xét lại; làm lại, xem xét lại
revise	đọc lại, xem lại, sửa lại, ôn lại
revision	sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
revolution	cuộc cách mạng
reward	sự thưởng, phần thưởng; thưởng, thưởng công
rhythm	nhịp điệu
rice	gạo, thóc, cơm; cây lúa
rich	giàu, giàu có
rid	giải thoát
ride	đi, cưỡi ; sự đi, đường đi
rider	người cưỡi ngựa, người đi xe đạp
ridiculous	buồn cười, lố bịch, lố lăng
riding	môn thể thao cưỡi ngựa, sự đi xe
right	thẳng, phải, tốt; ngay, đúng; điều thiện, điều phải, tốt, bên phải
rightly	đúng, phải, có lý
ring	chiếc nhẫn, đeo nhẫn cho ai
rise	sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc , thành đạt
risk	sự liều, mạo hiểm; liều
rival	đối thủ, địch thủ; đối địch, cạnh tranh
river	sông
road	con đường, đường phố
rob	cướp, lấy trộm
rock	đá
role	vai , vai trò
roll	cuốn, cuộn, sự lăn tròn; lăn, cuốn, quấn, cuộn
romantic	lãng mạn
roof	mái nhà, nóc
room	phòng, buồng
root	gốc, rễ
rope	dây cáp, dây thừng, xâu, chuỗi
rough	gồ ghề, lởm chởm
roughly	gồ ghề, lởm chởm
round	tròn, vòng quanh, xung quanh
rounded	bị làm thành tròn; phát triển đầy đủ
route	đường đi, lộ trình, tuyến đường
routine	thói thường, lệ thường, thủ tục; thường lệ, thông thường
row name	hàng, dãy
royal	vua, nữ hoàng, hoàng gia
rub	cọ xát, xoa bóp, nghiền, tán
rubber	cao su
rubbish	vật vô giá trị, bỏ đi, rác rưởi
rude	bất lịch sự, thô lỗ; thô sơ, đơn giản
rudely	bất lịch sự, thô lỗ; thô sơ, đơn giản
ruin	làm hỏng, làm đổ nát, làm phá sản; sự hỏng, sự đổ nát, sự phá sản
ruined	bị hỏng, bị đổ nát, bị phá sản
rule	quy tắc, điều lệ, luật lệ; cai trị, chỉ huy, điều khiển
ruler	người cai trị, người trị vì; thước kẻ
rumour	tin đồn, lời đồn
run	chạy; sự chạy
runner	người chạy
running	sự chạy, cuộc chạy đua
rural	nông thôn, vùng nông thôn
rush	xông lên, lao vào, xô đẩy; sự xông lên, sự lao vào, sự xô đẩy
sack	bào tải; đóng bao, bỏ vào bao
sad	buồn, buồn bã
sadly	một cách buồn bã, đáng buồn là, không may mà
sadness	sự buồn rầu, sự buồn bã
safe	an toàn, chắc chắn, đáng tin
safely	an toàn, chắc chắn, đáng tin
safety	sự an toàn, sự chắc chăn
sail	đi tàu, thuyền, nhổ neo; buồm, cánh buồm, chuyến đi bằng thuyền buồm
sailing	sự đi thuyền
sailor	thủy thủ
salad	sa lát ; rau sống
salary	tiền lương
sale	việc bán hàng
salt	muối
salty	chứ vị muối, có muối, mặn
same	đều đều, đơn điệu; cũng như thế, vẫn cái đó
sample	mẫu, hàng mẫu
sand	cát
satisfaction	sự làm cho thỏa mãn, toại nguyện; sự trả nợ, bồi thường
satisfied	cảm thấy hài lòng, vừa ý, thoả mãn
satisfy	làm thỏa mãn, hài lòng; trả , chuộc tội
satisfying	đem lại sự thỏa mãn, làm thỏa mãn, làm vừa ý
saturday	thứ 7
sauce	nước xốt, nước chấm
save	cứu, lưu
saving	nói
scale	vảy
scare	làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng
scared	bị hoảng sợ, bị sợ hãi
scene	cảnh, phong cảnh
schedule	kế hoạch làm việc, bản liệt kê; lên thời khóa biểu, lên kế hoạch
scheme	sự sắp xếp, sự phối hợp; kế hoạch thực hiện; lược đồ, sơ đồ
school	đàn cá, bầy cá
science	khoa học, khoa học tự nhiên
scientific	khoa học, có tính khoa học
scientist	nhà khoa học
scissors	cái kéo
score	điểm số, bản thắng, tỷ số; đạt được, thành công, cho điểm
scratch	cào, làm xước da; sự cào, sự trầy xước da
scream	gào thét, kêu lên; tiếng thét, tiếng kêu to
screen	màn che, màn ảnh, màn hình; phim ảnh nói chung
screw	đinh vít, đinh ốc; bắt vít, bắt ốc
sea	biển
seal	hải cẩu; săn hải cẩu
search	sự tìm kiếm, sự thăm dò, sự điều tra; tìm kiếm, thăm dò, điều tra
season	mùa
seat	ghế, chỗ ngồi
second	thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì
secondary	trung học, thứ yếu
secret	bí mật; điều bí mật
secretary	thư ký
secretly	bí mật, riêng tư
section	mục, phần
sector	khu vực, lĩnh vực
secure	chắc chắn, đảm bảo; bảo đảm, giữ an ninh
security	sự an toàn, sự an ninh
see	nhìn, nhìn thấy, quan sát
seed	hạt, hạt giống
seek	tìm, tìm kiếm, theo đuổi
seem linking	chọn lựa, chọn lọc
selection	sự lựa chọn, sự chọc lọc
self	bản thân mình
sell	bán
senate	thượng nghi viện, ban giám hiệu
senator	thượng nghị sĩ
send	gửi, phái đi
senior	nhiều tuổi hơn, dành cho trẻ em trên 11t; người lớn tuổi hơn, sinh viên năm cuối trường trung học, cao đẳng
sense	giác quan, tri giác, cảm giác
sensible	có óc xét đoán; hiểu, nhận biết được
sensitive	dễ bị thương, dễ bị hỏng; dễ bị xúc phạm
sentence	câu
separate	khác nhau, riêng biệt; làm rời, tách ra, chia tay
separated	ly thân
separately	không cùng nhau, thành người riêng, vật riêng
separation	sự chia cắt, phân ly, sự chia tay, ly thân
september	tháng 9
series	loạt, dãy, chuỗi
serious	đứng đắn, nghiêm trang
seriously	đứng đắn, nghiêm trang
servant	người hầu, đầy tớ
serve	phục vụ, phụng sự
service	sự phục vụ, sự hầu hạ
session	buổi họp, phiên họp, buổi, phiên
set	bộ, bọn, đám, lũ; đặt để, bố trí
set fire to	đốt cháy cái gì
settle	giải quyết, dàn xếp, hòa giải, đặt, bố trí
several	vài
severe	khắt khe, gay gắt
severely	khắt khe, gay gắt
sew	may, khâu
sewing	sự khâu, sự may vá
sex	giới, giống
sexual	giới tính, các vấn đề sinh lý
sexually	giới tính, các vấn đề sinh lý
shade	bóng, bóng tối
shadow	bóng, bóng tối, bóng râm, bóng mát
shake	rung, lắc, giũ; sự rung, sự lắc, sự giũ
shall modal	dự đoán tương lai: sẽ
shallow	nông, cạn
shame	sự xấu hổ, thẹn thùng, sự ngượng
shape	hình, hình dạng, hình thù
shaped	có hình dáng được chỉ rõ
share	đóng góp, tham gia, chia sẻ; phần đóng góp, phần tham gia, phần chia sẻ
sharp	sắc, nhọn, bén
sharply	sắc, nhọn, bén
shave	cạo
she	nó, bà ấy, chị ấy, cô ấy...
sheep	con cừu
sheet	chăn, khăn trải giường; lá, tấm, phiến, tờ
shelf	kệ, ngăn, giá
shell	vỏ, mai; vẻ bề ngoài
shelter	sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ
shift	đổi chỗ, dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên
shine	chiếu sáng, tỏa sáng
shiny	sáng chói, bóng
ship	tàu, tàu thủy
shirt	áo sơ mi
shock	sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc
shocked	bị kích động, bị va chạm, bị sốc
shocking	gây ra căm phẫn, tồi tệ, gây kích động
shoe	giày
shoot	vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra
shooting	sự bắn, sự phóng đi
shop	cửa hàng; đi mua hầng, đi chợ
shopping	sự mua sắm
short	ngắn, cụt
shortly	trong thời gian ngắn, sớm
shot	đạn, viên đạn
should modal	nên
shoulder	vai
shout	hò hét, reo hò; sự la hét, sự hò reo
show	biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ
shower	vòi hoa sen, sự tắm vòi hoa sen
shut	đóng, khép, đậy; tính khép kín
shy	nhút nhát, e thẹn
sick	ốm, đau, bệnh
side	mặt, mặt phẳng
sideways	ngang, từ một bên; sang bên
sight	cảnh đẹp; sự nhìn
sign	dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
signal	dấu hiệu, tín hiệu; ra hiệu, báo hiệu
signature	chữ ký
significant	nhiều ý nghĩa, quan trọng
significantly	đáng kể
silence	sự im lặng, sự yên tĩnh
silent	im lặng, yên tĩnh
silk	tơ , chỉ, lụa
silly	ngớ ngẩn, ngu ngốc, khờ dại
silver	bạc, đồng bạc; làm bằng bạc, trắng như bạc
similar	giống như, tương tự như
similarly	tương tự, giống nhau
simple	đơn, đơn giản, dễ dàng
simply	một cách dễ dàng, giản dị
since	từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy
sincere	thật thà, thẳng thắng, chân thành
sincerely	một cách chân thành
sing	hát, ca hát
singer	ca sĩ
singing	sự hát, tiếng hát
single	đơn, đơn độc, đơn lẻ
sink	chìm, lún, đắm
sir	xưng hô lịch sự ngài, ông
sister	chị, em gái
sit	ngồi
sit down	ngồi xuống
site	chỗ, vị trí
situation	hoàn cảnh, địa thế, vị trí
size	cỡ
sized	đã được định cỡ
skilful	tài giỏi, khéo tay
skilfully	tài giỏi, khéo tay
skill	kỹ năng, kỹ sảo
skilled	có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề
skin	da, vỏ
skirt	váy, đầm
sky	trời, bầu trời
sleep	ngủ; giấc ngủ
sleeve	tay áo, ống tay
slice	miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng
slide	trượtc, chuyển động nhẹ, lướt qua
slight	mỏng manh, thon, gầy
slightly	mảnh khảnh, mỏng manh, yếu ớt
slip	trượt, tuột, trôi qua, chạy qua
slope	dốc, đường dốc, độ dốc; nghiêng, dốc
slow	chậm, chậm chạp
slowly	một cách chậm chạp, chậm dần
small	nhỏ, bé
smart	mạnh, ác liệt
smash	đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
smell	ngửi; sự ngửi, khứu giác
smile	cười, mỉm cười; nụ cười, vẻ tươi cười
smoke	khói, hơi thuốc; hút thuốc, bốc khói, hơi
smoking	sự hút thuốc
smooth	nhẵn, trơn, mượt mà
smoothly	một cách êm ả, trôi chảy
snake	con rắn; người nham hiểm, xảo trá
snow	tuyết; tuyết rơi
so	như vậy, như thế; vì thế, vì vậy, vì thế cho nên
so that	để, để cho, để mà
soap	xà phòng
social	có tính xã hội
socially	có tính xã hội
society	xã hội
sock	tất ngăns, miếng lót giày
soft	mềm, dẻo
softly	một cách mềm dẻo
software	phần mềm
soil	đất trồng; vết bẩn
soldier	lính, quân nhân
solid	rắn; thể rắn, chất rắnh
solution	sự giải quyết, giải pháp
solve	giải, giải thích, giải quyết
some	một it, một vài
somebody	người nào đó
somehow	không biết làm sao, bằng cách này hay cách khác
something	một điều gì đó, một việc gì đó, một cái gì đó
sometimes	thỉnh thoảng, đôi khi
somewhat	đến mức độ nào đó, hơi, một chút
somewhere	nơi nào đó. đâu đó
son	con trai
song	bài hát
soon	sớm, chẳng bao lâu nữa
sore	đau, nhức
sorry	xin lỗi, lấy làm tiếc, lấy làm buồn
sort	thứ, hạng loại; lựa chọn, sắp xếp, phân loại
soul	tâm hồn, tâm trí, linh hồn
sound	âm thanh; nghe
soup	xúp, canh, cháo
sour	chua, có vị giấm
source	nguồn
south	phương nam, hướng nam; ở phía nam; hướng về phía nam
southern	thuộc phương nam
space	khoảng trống, khoảng cách
spare	thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
speak	nói
speaker	người nói, người diễn thuyết
special	đặc biệt, riêng biệt
specialist	chuyên gia, chuyên viên
specially	đặc biệt, riêng biệt
specific	đặc trưng, riêng biệt
specifically	đặc trưng, riêng biệt
speech	sự nói, khả năng nói, lời nói, cách nói, bài nói
speed	tốc độ, vận tốc
spell	đánh vần; sự thu hút, sự quyến rũ, say mê
spelling	sự viết chính tả
spend	tiêu, xài
spice	gia vị
spicy	có gia vị
spider	con nhện
spin	quay, quay tròn
spirit	tinh thần, tâm hồn, linh hồn
spiritual	tinh thần, linh hồn
spite	sự giận, sự hận thù;
split	chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra
spoil	cướp, cướp đọat
spoken	nói theo 1 cách nào đó
spoon	cái thìa
sport	thể thao
spot	dấu, đốm, vết
spray	máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
spread	trải, căng ra, bày ra; truyền bá
spring	mùa xuân
square	vuông, vuông vắn; dạng hình vuông, hình vuông
squeeze	ép, vắt, xiết; sự ép, sự vắt, sự xiết
stable	ổn định, bình tĩnh, vững vàng; chuồng ngưa
staff	gậy
stage	tầng, bệ
stair	bậc thang
stamp	tem; dán tem
stand	đứng, sự đứng
stand up	đứng đậy
standard	tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn
star	ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
stare	nhìm chằm chằm; sự nhìn chằm chằm
start	bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành
state	nhà nước, quốc gia, chính quyền;  nhà nước, có liên quan đến nhà nước; phát biểu, tuyên bố
statement	sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
station	trạm, điểm, đồn
statue	tượng
status	tình trạng
stay	ở lại, lưu lại; sự ở lại, sự lưu lại
steadily	vững chắc, vững vàng, kiên định
steady	vững chắc, vững vàng, kiến định
steal	ăn cắp, ăn trộm
steam	hơi nước
steel	thép, ngành thép
steep	dốc, dốc đứng
steeply	dốc, cheo leo
steer	lái
step	bước; bước, bước đi
stick	đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
stick out	đòi, đạt được cái gì
sticky	dính, nhớt
stiff	cứng, cứng rắn, kiên quyết
stiffly	cứng, cứng rắn, kiên quyết
still	đứng yên; vẫn, vẫn còn
sting	châm, chích, đốt; ngòi, vòi ; sự châm, chích..
stir	khuấy, đảo
stock	kho sự trữ, hàng dự trữ, vốn
stomach	dạ dày
stone	đá
stop	dừng, ngừng, nghỉ, thôi; sự dừng, sự ngừng, sự đỗ lại
store	cửa hàng, kho hàng; tích trữ, cho vào kho
storm	cơn giông, bão
story	chuyện, câu chuyện
stove	bếp lò, lò sưởi
straight	thẳng, không cong
strain	sự căng thẳng, sự căng
strange	xa lạ, chưa quen
strangely	lạ, xa lạ, chưa quen
stranger	người lạ
strategy	chiến lược
stream	dòng suối
street	phố, đườmg phố
strength	sức mạnh, sức khỏe
stress	sự căng thẳng; căng thẳng, ép, làm căng
stressed	bị căng thẳng, bị ép, bị căng
stretch	căng ra, duỗi ra, kéo dài ra
strict	nghiêm khắc, chặt chẽ,, khắt khe
strictly	một cách nghiêm khắc
strike	đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công
striking	nổi bật, gây ấn tượng
string	dây, sợi dây
strip	cởi, lột ; sự cởi quần áo
stripe	sọc, vằn, viền
striped	có sọc, có vằn
stroke	cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
strong	khỏe, mạnh, bền, vững, chắc chắn
strongly	khỏe, chắc chắn
structure	kết cấu, cấu trúc
struggle	đấu tranh; cuộc đấu tranh, cuộc chiến đấu
student	sinh viên
studio	xưởng phim, trường quay; phòng thu
study	sự học tập, sự nghiên cứu; học tập, nghiên cứu
stuff	chất liệu, chất
stupid	ngu ngốc, ngu đần, ngớ ngẩn
style	phong cách, kiểu, mẫu, loại
subject	chủ đề, đề tài; chủ ngữ
substance	chất liệu; bản chất; nội dung
substantial	thực tế, đáng kể, quan trọng
substantially	về thực chất, về căn bản
substitute	người, vật thay thế; thay thế
succeed	nối tiếp, kế tiếp; kế nghiệp, kế vị
success	sự thành công,, sự thành đạt
successful	thành công, thắng lợi, thành đạt
successfully	thành công, thắng lợi, thành đạt
such	như thế, như vậy, như là
such as	đến nỗi, đến mức
suck	bú, hút; hấp thụ, tiếp thu
sudden	thình lình, đột ngột
suddenly	thình lình, đột ngột
suffer	chịu đựng, chịu thiệt hại, đau khổ
suffering	sự đau đớn, sự đau khổ
sufficient	đủ, thích đáng
sufficiently	đủ, thích đáng
sugar	đường
suggest	đề nghị, đề xuất; gợi
suggestion	sự đề nghị, sự đề xuất, sự khêu gợi
suit	bộ com lê, trang phục; thích hợp, quen, hợp với
suitable	hợp, phù hợp, thích hợp với
suitcase	va li
suited	hợp, phù hợp, thích hợp với
sum	tổng, toàn bộ
summary	bản tóm tắt
summer	mùa hè
sun	mặt trời
sunday	chủ nhật
superior	cao, chất lượng cao
supermarket	siêu thị
supply	sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
support	sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
supporter	vật chống đỡ; người cổ vũ, người ủng hộ
suppose	cho rằng, tin rằng, nghĩ rằng
sure	chắc chắn, xác thực
surely	chắc chắn
surface	mặt, bề mặt
surname	họ
surprise	sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ
surprised	ngạc nhiên
surprising	làm ngạc nhiên, làm bất ngờ
surprisingly	làm ngạc nhiên, làm bất ngờ
surround	vây quanh, bao quanh
surrounding	sự vây quanh, sự bao quanh
surroundings	vùng xung quanh, môi trường xung quanh
survey	sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu
survive	sống lâu hơn, tiếp tục sống, sống sót
suspect	nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
suspicion	sự nghi ngờ, sự ngờ vực
suspicious	có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
swallow	nuốt, nuốt chửng
swear	chửi rủa, nguyền rủa; thề, hứa
swearing	lời thề, lời nguyền rủa, lời thề hứa
sweat	mồ hôi; đổ mồ hôi
sweater	người ra mồ hôi,, kẻ bóc lột lao động
sweep	quét
sweet	ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
swell	phồng, sưng lên
swelling	sự sưng lên, sự phồng ra
swim	bơi lội
swimming	sự bơi lội
swimming pool	bể nước
swing	sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
switch	công tắc, roi; tắt, bật, đánh bằng gậy, roi
switch  off	ngắt điện
switch  on	bật điện
swollen	sưng phồng, phình căng
swollen swell	phồng lên, sưng lên
symbol	biểu tượng, ký hiệu
sympathetic	đồng cảm, đáng mến, dễ thương
sympathy	sự đồng cảm, sự đồng ý
system	hệ thống, chế độ
table	cái bàn
tablet	tấm, bản, thẻ phiến
tackle	giải quyết, khắc phục, bàn thảo; đồ dùng, dụng cụ
tail	đuôi, đoạn cuối
take	sự cầm nắm, sự lấy
take  over	chở, chuyển cái gì; tiếp quản, kế tục cái gì
take advantage of	lợi dụng
take notice of	chú ý
take place	xảy ra, được cử hành, được tổ chức
take sth off	cởi, bỏ cái gì, lấy đi cái gì
talk	nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
tall	cao
tank	thùng, két, bể
tap	mở vòi, đóng vồi; vòi, khóa
tape	băng, băng ghi âm; dải, dây
target	bia, mục tiêu, đích
